Zeme,PocetDeti,DobaZivota
Afghanistan,4.33,58.7
Albania,1.71,78
Algeria,2.64,77.9
Angola,5.55,65.2
Antigua and Barbuda,2.03,77.6
Argentina,2.26,77
Armenia,1.6,76
Australia,1.83,82.9
Austria,1.52,81.8
Azerbaijan,2.04,72.3
Bahamas,1.75,74.1
Bahrain,1.99,77.2
Bangladesh,2.05,73.4
Barbados,1.8,76.8
Belarus,1.72,73.8
Belgium,1.8,81.2
Belize,2.44,72.5
Benin,4.84,65
Bhutan,1.99,74.8
Bolivia,2.8,74
Bosnia and Herzegovina,1.39,77.9
Botswana,2.64,66.9
Brazil,1.7,75.7
Brunei,1.85,77.4
Bulgaria,1.59,75.3
Burkina Faso,5.19,61.6
Burundi,5.53,61.1
Cambodia,2.5,69.3
Cameroon,4.57,61.2
Canada,1.56,82.2
Cape Verde,2.27,74.1
Central African Republic,4.72,51.6
Chad,5.75,60.5
Chile,1.76,80.7
China,1.64,76.9
Colombia,1.82,78.6
Comoros,4.2,68
"Congo, Dem. Rep.",5.92,62.4
"Congo, Rep.",4.54,63.9
Costa Rica,1.75,81.4
Cote d'Ivoire,4.78,61.2
Croatia,1.45,77.7
Cuba,1.72,79.3
Cyprus,1.34,80.8
Czech Republic,1.57,79.4
Denmark,1.76,81.1
Djibouti,2.73,67.1
Dominican Republic,2.36,76.1
Ecuador,2.43,78.3
Egypt,3.15,72.6
El Salvador,2.04,75.8
Equatorial Guinea,4.51,66.1
Eritrea,3.99,64.6
Estonia,1.66,77.7
Ethiopia,3.97,66.4
Fiji,2.47,65.8
Finland,1.78,82.1
France,1.97,82.6
Gabon,3.66,67.3
Gambia,5.29,67.8
Georgia,1.98,74.3
Germany,1.48,81.3
Ghana,3.87,66.6
Greece,1.3,81.3
Grenada,2.06,71.9
Guatemala,2.87,73.2
Guinea,4.7,61.9
Guinea-Bissau,4.48,59.7
Guyana,2.46,68.2
Haiti,2.82,64.5
Honduras,2.39,73.1
Hungary,1.4,75.9
Iceland,1.91,82.6
India,2.28,69.1
Indonesia,2.31,72
Iran,1.61,76.5
Iraq,4.25,68
Ireland,1.98,81.5
Israel,2.92,82.4
Italy,1.5,82.6
Jamaica,1.98,75.2
Japan,1.48,84.2
Jordan,3.24,76.7
Kazakhstan,2.57,72
Kenya,3.74,67.3
Kiribati,3.57,62.2
Kuwait,1.95,80
Kyrgyz Republic,2.91,71.5
Lao,2.59,67.9
Latvia,1.57,75.1
Lebanon,1.71,80.5
Lesotho,3,51.1
Liberia,4.45,65.4
Libya,2.2,75.5
Lithuania,1.67,75.3
Luxembourg,1.59,82.4
"Macedonia, FYR",1.55,75.2
Madagascar,4.08,63.4
Malawi,4.44,61
Malaysia,2,75.9
Maldives,2.01,80.1
Mali,5.88,62.9
Malta,1.48,81.8
Mauritania,4.55,70.6
Mauritius,1.43,74.9
Mexico,2.12,76.8
"Micronesia, Fed. Sts.",3.05,65.8
Moldova,1.23,72.4
Mongolia,2.67,68.7
Montenegro,1.65,77.3
Morocco,2.42,75.5
Mozambique,5.12,61.1
Myanmar,2.17,70.3
Namibia,3.3,65.7
Nepal,2.05,71.5
Netherlands,1.75,81.9
New Zealand,1.97,81.8
Nicaragua,2.14,78.7
Niger,7.13,62.5
Nigeria,5.39,66.1
North Korea,1.89,71.1
Norway,1.83,82.4
Oman,2.52,78.1
Pakistan,3.35,68
Palestine,3.88,72.2
Panama,2.46,79.4
Papua New Guinea,3.56,61.1
Paraguay,2.43,74.8
Peru,2.34,80.2
Philippines,2.86,70.5
Poland,1.29,78.2
Portugal,1.24,81.3
Qatar,1.87,80.7
Romania,1.54,75.5
Russia,1.76,71.1
Rwanda,3.74,68.3
Samoa,3.88,72.4
Sao Tome and Principe,4.33,70.9
Saudi Arabia,2.45,77.6
Senegal,4.62,66.8
Serbia,1.62,76.2
Seychelles,2.25,74.2
Sierra Leone,4.26,60
Singapore,1.26,84
Slovak Republic,1.47,77.2
Slovenia,1.65,81.1
Solomon Islands,3.74,63.6
Somalia,6.08,58
South Africa,2.4,63.5
South Korea,1.33,81.3
South Sudan,4.7,60.7
Spain,1.39,83.2
Sri Lanka,2.02,77.8
St. Lucia,1.44,76.6
St. Vincent and the Grenadines,1.89,72
Sudan,4.41,68.8
Suriname,2.32,71.6
Swaziland,2.98,58.6
Sweden,1.91,82.4
Switzerland,1.55,83.5
Syria,2.82,69.8
Tajikistan,3.27,72.2
Tanzania,4.89,65.5
Thailand,1.45,78.2
Timor-Leste,5.28,73.3
Togo,4.32,63.1
Tonga,3.56,70.7
Trinidad and Tobago,1.73,73.4
Tunisia,2.15,78
Turkey,2.02,79.6
Turkmenistan,2.79,70.5
Uganda,5.41,62.9
Ukraine,1.56,72.3
United Arab Emirates,1.72,76.9
United Kingdom,1.87,81.2
United States,1.9,79.1
Uruguay,1.97,77.6
Uzbekistan,2.23,70.5
Vanuatu,3.2,64.3
Venezuela,2.27,75.9
Vietnam,1.95,74.9
Yemen,3.79,67.1
Zambia,4.87,59.5
Zimbabwe,3.61,60.2
